moveId,name,type,bp,acc,prio,cat,ohko,highCrit,NEEDS_BP_REVIEW
absorb,Absorb,Grass,20,100,0,Special,,,
acid,Acid,Poison,40,100,0,Physical,,,
acidarmor,Acid Armor,Poison,0,—(never miss),0,Status,,,
aeroblast,Aeroblast,Flying,100,95,0,Physical,,yes,
agility,Agility,Psychic,0,—(never miss),0,Status,,,
amnesia,Amnesia,Psychic,0,—(never miss),0,Status,,,
ancientpower,Ancientpower,Rock,60,100,0,Physical,,,
attract,Attract,Normal,0,100,0,Status,,,
aurorabeam,Aurora Beam,Ice,65,100,0,Special,,,
barrage,Barrage,Normal,15,85,0,Physical,,,
barrier,Barrier,Psychic,0,—(never miss),0,Status,,,
batonpass,Baton Pass,Normal,0,—(never miss),0,Status,,,
bellydrum,Belly Drum,Normal,0,—(never miss),0,Status,,,
bind,Bind,Normal,15,85,0,Physical,,,
bite,Bite,Dark,60,100,0,Special,,,
blizzard,Blizzard,Ice,110,70,0,Special,,,
bodyslam,Body Slam,Normal,85,100,0,Physical,,,
boneclub,Bone Club,Ground,65,85,0,Physical,,,
bonerush,Bone Rush,Ground,25,90,0,Physical,,,
bonemerang,Bonemerang,Ground,50,90,0,Physical,,,
bubble,Bubble,Water,40,100,0,Special,,,
bubblebeam,Bubblebeam,Water,65,100,0,Special,,,
charm,Charm,Fairy,0,100,0,Status,,,
clamp,Clamp,Water,35,85,0,Special,,,
cometpunch,Comet Punch,Normal,18,85,0,Physical,,,
confuseray,Confuse Ray,Ghost,0,100,0,Status,,,
confusion,Confusion,Psychic,50,100,0,Special,,,
constrict,Constrict,Normal,10,100,0,Physical,,,
conversion,Conversion,Normal,0,—(never miss),0,Status,,,
cottonspore,Cotton Spore,Grass,0,100,0,Status,,,
crabhammer,Crabhammer,Water,100,90,0,Special,,yes,
crosschop,Cross Chop,Fighting,100,80,0,Physical,,yes,
crunch,Crunch,Dark,80,100,0,Special,,,
curse,Curse,Ghost,0,—(never miss),0,Status,,,
cut,Cut,Normal,50,95,0,Physical,,,
defensecurl,Defense Curl,Normal,0,—(never miss),0,Status,,,
destinybond,Destiny Bond,Ghost,0,—(never miss),0,Status,,,
detect,Detect,Fighting,0,—(never miss),4,Status,,,
dig,Dig,Ground,80,100,0,Physical,,,
disable,Disable,Normal,0,100,0,Status,,,
dizzypunch,Dizzy Punch,Normal,70,100,0,Physical,,,
doublekick,Double Kick,Fighting,30,100,0,Physical,,,
doubleteam,Double Team,Normal,0,—(never miss),0,Status,,,
doubleedge,Double-Edge,Normal,120,100,0,Physical,,,
doubleslap,Doubleslap,Normal,15,85,0,Physical,,,
dragonrage,Dragon Rage,Dragon,40,100,0,Special,,,
dragonbreath,Dragonbreath,Dragon,60,100,0,Special,,,
dreameater,Dream Eater,Psychic,100,100,0,Special,,,
drillpeck,Drill Peck,Flying,80,100,0,Physical,,,
dynamicpunch,Dynamicpunch,Fighting,100,50,0,Physical,,,
earthquake,Earthquake,Ground,100,100,0,Physical,,,
eggbomb,Egg Bomb,Normal,100,75,0,Physical,,,
ember,Ember,Fire,40,100,0,Special,,,
encore,Encore,Normal,0,100,0,Status,,,
endure,Endure,Normal,0,—(never miss),4,Status,,,
explosion,Explosion,Normal,250,100,0,Physical,,,
extremespeed,Extremespeed,Normal,80,100,2,Physical,,,
falseswipe,False Swipe,Normal,40,100,0,Physical,,,
feintattack,Feint Attack,Dark,60,—(never miss),0,Special,,,
fireblast,Fire Blast,Fire,110,85,0,Special,,,
firepunch,Fire Punch,Fire,75,100,0,Special,,,
firespin,Fire Spin,Fire,35,85,0,Special,,,
fissure,Fissure,Ground,0,30,0,Physical,yes,,BP doesn't matter since it is a OHKO
flail,Flail,Normal,30,100,0,Physical,,,
flamewheel,Flame Wheel,Fire,60,100,0,Special,,,
flamethrower,Flamethrower,Fire,90,100,0,Special,,,
flash,Flash,Normal,0,100,0,Status,,,
fly,Fly,Flying,90,95,0,Physical,,,
focusenergy,Focus Energy,Normal,0,—(never miss),0,Status,,,
foresight,Foresight,Normal,0,—(never miss),0,Status,,,
frustration,Frustration,Normal,50,100,0,Physical,,,
furyattack,Fury Attack,Normal,15,85,0,Physical,,,
furycutter,Fury Cutter,Bug,40,95,0,Physical,,,
furyswipes,Fury Swipes,Normal,18,80,0,Physical,,,
futuresight,Future Sight,Psychic,120,100,0,Special,,,
gigadrain,Giga Drain,Grass,75,100,0,Special,,,
glare,Glare,Normal,0,100,0,Status,,,
growl,Growl,Normal,0,100,0,Status,,,
growth,Growth,Normal,0,—(never miss),0,Status,,,
guillotine,Guillotine,Normal,0,30,0,Physical,yes,,BP doesn't matter since it is a OHKO
gust,Gust,Flying,40,100,0,Physical,,,
harden,Harden,Normal,0,—(never miss),0,Status,,,
haze,Haze,Ice,0,—(never miss),0,Status,,,
headbutt,Headbutt,Normal,70,100,0,Physical,,,
healbell,Heal Bell,Normal,0,—(never miss),0,Status,,,
hiddenpower,Hidden Power,Normal,60,100,0,Physical,,,
highjumpkick,High Jump Kick,Fighting,130,90,0,Physical,,,
hornattack,Horn Attack,Normal,65,100,0,Physical,,,
